등번호,이름,팀명,포지션,생년월일,학력,키_cm,몸무게_kg
,,61.0,김규민,SSG,동수원초(수원영통구리틀)-매향중-공주고-여주대,,
,,45.0,김기연,두산,광주수창초-진흥중-진흥고-LG,,
,,24.0,김도환,삼성,언북초(의정부리틀)-영동중-신일고-삼성-상무,,
,,47.0,김동헌,키움,영문초(영등포구리틀)-충암중-충암고,,
,,103.0,김동현,NC,부산대연초-사직중-부산공고-성균관대,,
,,39.0,김민,고양,중앙고-고려대-넥센,,
,,97.0,김민석,KT,창영초-동인천중-제물포고,,
,,12.0,김민수,삼성,대구옥산초-경복중-대구상원고-영남대-한화-상무,,
,,24.0,김민식,SSG,양덕초-마산중-마산고-원광대-SK-상무-SK-KIA,,
,,55.0,김범석,LG,김해삼성초-경남중-경남고,,
,,42.0,김선우,상무,상인천초-상인천중-강릉고-KIA-상무,,
,,44.0,김성우,LG,성동초-건대부중-배재고,,
,,116.0,김성재,두산,온곡초(남양주야놀유소년)-청원중-선린인터넷고,,
,,114.0,김성진,LG,수원신곡초-매향중-야탑고,,
,,26.0,김시앙,상무,광주대성초-광주동성중-광주동성고-키움-상무,,
,,2.0,김재성,삼성,신광초-성남중-덕수고-LG-경찰-LG,,
,,32.0,김재현,키움,진북초-전라중-대전고-히어로즈-상무,,
,,124.0,김재형,삼성,봉천초-선린중-덕수고,,
,,32.0,김재환,두산,영랑초-상인천중-인천고-두산-상무,,
,,105.0,김정호,NC,대구옥산초-경복중-포항제철고-성균관대,,
,,44.0,김준태,KT,양정초-개성중-경남고-(영남사이버대)-롯데-상무-롯데,,
,,65.0,김지성,고양,창영초-재능중-율곡고,,
,,42.0,김태군,KIA,양정초-대동중-부산고-LG-NC-경찰-NC-삼성,,
,,109.0,김태호,NC,신도초(해운대리틀)-센텀중-부산정보고-동아대,,
,,25.0,김형준,NC,가동초-세광중-세광고-NC-상무,,
,,27.0,나균안,롯데,무학초-창원신월중-용마고,,
,,11.0,류현준,두산,문정초(송파구리틀)-배재중-장충고,,
,,109.0,박건우,롯데,성동초-건대부중-장충고-고려대,,
,,27.0,박동원,LG,양정초-개성중-개성고-히어로즈-상무-히어로즈-키움-KIA,,
,,26.0,박민준,두산,아라초-마산동중-용마고-동강대,,
,,106.0,박민호,LG,본리초-경상중-대구상원고-경남대,,
,,42.0,박상언,한화,무원초-영남중-유신고-한화-상무,,
,,56.0,박성빈,키움,한밭초(계룡시리틀)-충남중-대전고,,
,,22.0,박성재,상무,가고파초(창원리틀)-마산동중-용마고-NC-상무,,
,,15.0,박성재,두산,가산초-개성중-부산고-두산-상무,,
,,10.0,박세혁,NC,수유초-신일중-신일고-고려대-두산-상무-두산,,
,,63.0,박재엽,롯데,부산대연초-개성중-부산고,,
,,0.0,박주찬,NC,동막초-경포중-강릉고-동아대,,
,,75.0,박준형,고양,화순초-무등중-광주제일고,,
,,111.0,박진우,삼성,글꽃초(대전중구리틀)-현도중-청주고,,
,,62.0,백두산,롯데,부산수영초-대천중-개성고-동의대,,
,,35.0,서동욱,롯데,순천남산초-순천이수중-순천효천고BC-홍익대,,
,,32.0,손명기,고양,광주제일고-고려대,,
,,6.0,손성빈,롯데,희망대초-경기신흥중-장안고-롯데-상무,,
,,42.0,신명승,KIA,광주수창초-진흥중-진흥고,,
,,117.0,신민우,NC,김해우암초(김해리틀)-내동중-마산고,,
,,25.0,신범수,SSG,광주대성초-광주동성중-광주동성고-KIA,,
,,,신용석,NC,양덕초-마산동중-마산고-NC-상무,,
,,1.0,안중열,NC,가야초-개성중-부산고-(영남사이버대)-KT-롯데-상무-롯데,,
,,39.0,안진,한화,인헌초-영남중-경기상고,,
,,58.0,안현민,KT,임호초(김해리틀)-개성중-마산고,,
,,25.0,양의지,두산,송정동초-무등중-진흥고-두산-경찰-두산-NC,,
,,123.0,엄장윤,롯데,사직초(부산동래구리틀)-사직중-부경고,,
,,27.0,유강남,롯데,청원초-휘문중-서울고-LG-상무-LG,,
,,69.0,유세영,고양,미국 독립구단,,
,,11.0,윤준호,상무,부산안락초(해운대리틀)-센텀중-경남고-동의대-두산-상무,,
,,23.0,이병헌,삼성,인천숭의초-인천신흥중-제물포고,,
,,44.0,이상준,KIA,서울도곡초-대치중-경기고,,
,,96.0,이승현,KT,비전초(평택리틀)-개군중-북일고,,
,,32.0,이율예,SSG,중리초(함안리틀)-원동중-강릉고,,
,,20.0,이재원,한화,인천숭의초-상인천중-인천고-SK-상무-SK-SSG,,
,,103.0,이정환,KT,수원신곡초-매향중-안산공고,,
,,48.0,이정훈,롯데,교문초-배재중-휘문고-경희대-KIA-상무-KIA,,
,,26.0,이주헌,LG,서울이수초-성남중-성남고,,
,,59.0,이지영,SSG,서화초-인천신흥중-제물포고-경성대-삼성-상무-삼성-키움,,
,,0.0,이한림,LG,해남동초(해남군리틀)-화순중-전주고,,
,,44.0,장규빈,두산,갈산초-서울신월중-경기고,,
,,32.0,장규현,한화,인성초(미추홀구리틀)-동인천중-인천고-한화-상무,,
,,22.0,장성우,KT,감천초-경남중-경남고-롯데-경찰-롯데,,
,,22.0,장승현,두산,인천서림초-동산중-제물포고-두산-경찰,,
,,128.0,전경원,LG,연현초-성남중-성남고-SK-상무-SSG,,
,,32.0,전준호,LG,양도초-강남중-청원고,,
,,42.0,정보근,롯데,부산수영초-경남중-경남고,,
,,42.0,조대현,KT,길동초-매송중-유신고,,
,,20.0,조형우,SSG,송정동초-무등중-광주제일고-SK,,
,,25.0,주성원,고양,부산대연초(남구리틀)-신정중-개성고,,
,,22.0,주효상,KIA,역북초-강남중-서울고-히어로즈-키움,,
,,106.0,차동영,삼성,갈곡초(기흥구리틀)-모가중-강릉고,,
,,102.0,채은성,LG,순천북초-이수중-효천고,,
,,103.0,천현재,두산,연제초(부산남구리틀)-신정중-부경고-성균관대,,
,,42.0,최성락,고양,화순고-동의대,,
,,13.0,최재훈,한화,화곡초-덕수중-덕수고-(방송통신대)-두산-경찰-두산,,
,,43.0,최형우,삼성,전주고,,
,,26.0,한승택,KIA,잠전초(남양주리틀)-잠신중-덕수고-한화-경찰,,
,,55.0,한준수,KIA,광주서석초-광주동성중-광주동성고,,
,,67.0,한지윤,한화,가동초-휘문중-경기상고,,
,,12.0,허관회,한화,경동초(의정부리틀)-건대부중-경기고,,
,,59.0,허인서,한화,순천북초-여수중-효천고-한화-상무,,
,,8.0,현원회,SSG,가동초-경상중-대구고-SK,,
,,37.0,홍권민,고양,원주고,,
,,104.0,강동형,두산,용인초(구리리틀)-마산중-배명고-경성대,,
,,50.0,강백호,KT,부천북초-서울이수중-서울고,,
,,49.0,강진성,SSG,가동초-잠신중-경기고-NC-경찰-NC-두산,,
,,66.0,강하승,고양,진흥고-동국대,,
,,60.0,강현구,두산,서울도림초(인천남동구리틀)-동산중-인천고,,
,,65.0,고승민,롯데,군산신풍초-배명중-북일고,,
,,101.0,고승완,NC,광주대성초-무등중-광주동성고-연세대,,
,,57.0,고종욱,KIA,역삼초-대치중-경기고-한양대-히어로즈-상무-히어로즈-SK-SSG,,
,,5.0,구자욱,삼성,본리초-경복중-대구고-삼성-상무,,
,,17.0,권광민,한화,서울청구초-홍은중-장충고,,
,,36.0,권희동,NC,동천초-경주중-경주고-경남대-NC-상무,,
,,0.0,김건형,KT,먼우금초-Lesbois(중)-Timberline(고)-Boise State(대),,
,,27.0,김대한,두산,숭인초(강북구리틀)-덕수중-휘문고,,
,,100.0,김대현,롯데,광주서림초-광주충장BC-광주제일고-부산과학기술대,,
,,38.0,김동엽,키움,천안남산초-천안북중-북일고-SK-삼성,,
,,124.0,김동준,두산,군산신풍초-군산중-군산상고,,
,,50.0,김동혁,롯데,서화초-상인천중-제물포고-강릉영동대,,
,,64.0,김동현,롯데,인천병방초(인천서구리틀)-재능중-제물포고-부산과학기술대,,
,,2.0,김민석,두산,신도초-휘문중-휘문고-롯데,,
,,4.0,김민수,KIA,부산수영초-경남중-경남고,,
,,53.0,김민혁,KT,광주서석초-배재중-배재고-KT-상무,,
,,66.0,김범준,NC,울산대현초-제일중-대구고,,
,,57.0,김병준,KT,창촌초(안산리틀)-안산중앙중-유신고,,
,,35.0,김석환,KIA,광주서석초-광주동성중-광주동성고,,
,,38.0,김성욱,NC,광주서림초-충장중-진흥고-NC-상무,,
,,39.0,김성윤,삼성,창신초(부산진구리틀)-원동중-포항제철고,,
,,33.0,김인태,두산,포항제철서초-천안북중-북일고-두산-경찰,,
,,8.0,김재혁,삼성,제주남초-제주제일중-제주고-동아대-삼성-상무,,
,,32.0,김재환,두산,영랑초-상인천중-인천고-두산-상무,,
,,4.0,김정민,SSG,광안초(부산수영구리틀)-경남중-경남고,,
,,58.0,김지찬,삼성,백사초(이천시리틀)-모가중-라온고,,
,,64.0,김창평,SSG,학강초-무등중-광주제일고-SK,,
,,64.0,김태근,삼성,광진초(광진구리틀)-건대부중-배명고-건국대-두산-상무,,
,,25.0,김태연,한화,서울청구초-덕수중-야탑고,,
,,25.0,김태훈,삼성,진흥초(안산리틀)-평촌중-유신고-KT,,
,,32.0,김헌곤,삼성,회원초-경복중-제주관광고-영남대-삼성-상무,,
,,22.0,김현수,LG,쌍문초-신일중-신일고-두산-볼티모어-필라델피아,,
,,66.0,김현종,LG,상인천초-동인천중-인천고,,
,,27.0,김현준,상무,가산초(부산진구리틀)-센텀중-개성고-삼성-상무,,
,,27.0,김호령,KIA,관산초-안산중앙중-군산상고-동국대-KIA-경찰,,
,,47.0,나성범,KIA,광주대성초-진흥중-진흥고-연세대-NC,,
,,29.0,레이예스,롯데,베네수엘라 Dr Felipe Guevara(고),,
,,3.0,로하스,KT,미국 Wabash Valley(대)-KT,,
,,57.0,류승민,상무,광주화정초-무등중-광주제일고-삼성-상무,,
,,45.0,류효승,SSG,칠성초-경상중-대구상원고-성균관대-SK,,
,,44.0,맥브룸,SSG,미국 West Virginia(대),,
,,24.0,문상철,KT,중대초-잠신중-배명고-고려대-KT-상무,,
,,8.0,문성주,LG,포항서초-포항제철중-경북고-강릉영동대,,
,,37.0,박건우,NC,역삼초-서울이수중-서울고-두산-경찰-두산,,
,,64.0,박관우,LG,욱수초(경산시리틀)-경운중-경북고,,
,,53.0,박대원,고양,성균관대,,
,,104.0,박민석,KT,남정초-건대부중-덕수고,,
,,14.0,박수종,키움,도신초-강남중-충암고-경성대,,
,,107.0,박승규,삼성,일산초-덕수중-경기고-삼성-상무,,
,,53.0,박시원,NC,광주서림초-광주동성중-광주제일고,,
,,39.0,박영빈,NC,호원초(의정부리틀)-청량중-충암고-경희대,,
,,107.0,박영완,롯데,양덕초-마산동중-대구고,,
,,36.0,박재현,KIA,동막초-재능중-인천고,,
,,58.0,박정빈,SSG,효제초-청량중-경기고,,
,,15.0,박정우,KIA,역삼초-언북중-덕수고,,
,,57.0,박주홍,키움,자양초(하남시리틀)-건대부중-장충고,,
,,10.0,박찬혁,상무,대전유천초(대전서구리틀)-한밭중-북일고-키움-상무,,
,,79.0,박채울,고양,부평초(인천서구리틀)-재능중-충암고,,
,,,박한결,NC,본리초-경복중-경북고-NC-상무,,
,,17.0,박해민,LG,영중초-양천중-신일고-한양대-삼성,,
,,36.0,박헌,KIA,광주수창초-충장중-광주제일고,,
,,27.0,배정대,KT,도신초-성남중-성남고-(디지털문예대)-LG-KT-경찰,,
,,35.0,백선기,KT,남도초-경상중-대구상원고,,
,,69.0,백준서,SSG,불정초(분당구리틀)-대원중-덕수고,,
,,9.0,변상권,키움,인천서림초-상인천중-제물포고-인천재능대-히어로즈-키움-상무,,
,,60.0,서영준,LG,화정초-진흥중-전주고,,
,,31.0,손아섭,NC,양정초-개성중-부산고-롯데,,
,,110.0,손율기,두산,양덕초-마산동중-용마고,,
,,28.0,송민섭,KT,청파초(안산리틀)-선린중-선린인터넷고-단국대-KT-상무,,
,,8.0,송승환,NC,신기초(금천구리틀)-양천중-서울고-두산,,
,,14.0,송찬의,LG,화곡초-선린중-선린인터넷고,,
,,4.0,신민재,LG,서흥초-동인천중-인천고,,
,,62.0,신범준,KT,원일초(수원영통구리틀)-매향중-장안고,,
,,114.0,신우재,한화,인천숭의초-자양중-세광고-인천재능대,,
,,3.0,신윤후,롯데,무학초-마산중-마산고-동의대,,
,,68.0,신호준,KT,백마초-포항중-경주고,,
,,108.0,심규빈,LG,잠전초(동대문구리틀)-언북중-서울고-성균관대,,
,,6.0,안신태,고양,고베SUNS,,
,,15.0,안익훈,LG,대전신흥초-충남중-대전고,,
,,8.0,안치영,KT,중동초(원미구리틀)-천안북중-북일고,,
,,23.0,안현민,KT,임호초(김해리틀)-개성중-마산고,,
,,120.0,양가온솔,NC,진북초-전라중-인상고,,
,,100.0,양현진,두산,길주초(안동시리틀)-포항중-영문고,,
,,27.0,에레디아,SSG,쿠바 Eide Luis Agusto Tursios Lima,,
,,8.0,예진원,KIA,양정초-부산중-경남고-넥센-키움-상무-키움,,
,,33.0,오선우,KIA,성동초-자양중-배명고-인하대,,
,,23.0,오스틴,LG,미국 Klein Collins(고),,
,,17.0,오장한,상무,희망대초-매향중-장안고-NC-상무,,
,,114.0,오창현,롯데,서울자운초(노원구리틀)-자양중-신일고-중앙대,,
,,37.0,오태곤,SSG,쌍문초-신월중-청원고-롯데-경찰-롯데-KT-SK,,
,,33.0,원성준,키움,고명초-서울이수중-경기고-성균관대,,
,,33.0,유로결,한화,광주서림초-광주동성중-광주제일고,,
,,97.0,유민,한화,역삼초-대치중-배명고,,
,,67.0,유준규,KT,군산신풍초-군산중-군산상고,,
,,91.0,윤동희,롯데,현산초-대원중-야탑고,,
,,126.0,윤수녕,롯데,대전신흥초-한밭중-대전고-연세대,,
,,31.0,윤정빈,삼성,신도초-부천중-부천고-삼성-상무,,
,,110.0,이민재,한화,호동초(안산리틀)-안산중-비봉고-동원과학기술대,,
,,9.0,이상혁,한화,수원영화초(군포시리틀)-수원북중-장안고-강릉영동대,,
,,113.0,이상화,롯데,포항대해초-포항제철중-포항제철고-강릉영동대,,
,,13.0,이성규,삼성,광주대성초-광주동성중-광주동성고-인하대-삼성-경찰,,
,,9.0,이승민,SSG,서울도곡초-휘문중-휘문고,,
,,9.0,이영재,KIA,연현초-평촌중-유신고,,
,,25.0,이우성,KIA,대전유천초-한밭중-대전고-두산-상무-두산-NC,,
,,50.0,이원석,한화,화곡초-충암중-충암고,,
,,93.0,이원준,SSG,양정초-부산중-부산고,,
,,54.0,이인한,롯데,광주대성초-심석중-강릉고-강릉영동대,,
,,52.0,이재원,상무,청주석교초-서울경원중-서울고-LG-상무,,
,,31.0,이정범,SSG,인천숭의초-동인천중-인천고,,
,,48.0,이정훈,롯데,교문초-배재중-휘문고-경희대-KIA-상무-KIA,,
,,58.0,이주형,상무,이매초-매송중-야탑고-키움-상무,,
,,2.0,이주형,키움,송수초(해운대리틀)-센텀중-경남고-LG,,
,,10.0,이진영,한화,둔촌초-선린중-선린인터넷고-KIA-경찰-KIA,,
,,117.0,이진용,삼성,평택부용초(모현메이필드)-평택청담중-북일고,,
,,8.0,이창진,KIA,신도초-동인천중-인천고-건국대-롯데-KT-상무-KT,,
,,126.0,윤수녕,롯데,대전신흥초-한밭중-대전고-연세대,,
,,31.0,윤정빈,삼성,신도초-부천중-부천고-삼성-상무,,
,,110.0,이민재,한화,호동초(안산리틀)-안산중-비봉고-동원과학기술대,,
,,9.0,이상혁,한화,수원영화초(군포시리틀)-수원북중-장안고-강릉영동대,,
,,113.0,이상화,롯데,포항대해초-포항제철중-포항제철고-강릉영동대,,
,,13.0,이성규,삼성,광주대성초-광주동성중-광주동성고-인하대-삼성-경찰,,
,,9.0,이승민,SSG,서울도곡초-휘문중-휘문고,,
,,9.0,이영재,KIA,연현초-평촌중-유신고,,
,,25.0,이우성,KIA,대전유천초-한밭중-대전고-두산-상무-두산-NC,,
,,50.0,이원석,한화,화곡초-충암중-충암고,,
,,93.0,이원준,SSG,양정초-부산중-부산고,,
,,54.0,이인한,롯데,광주대성초-심석중-강릉고-강릉영동대,,
,,52.0,이재원,상무,청주석교초-서울경원중-서울고-LG-상무,,
,,31.0,이정범,SSG,인천숭의초-동인천중-인천고,,
,,48.0,이정훈,롯데,교문초-배재중-휘문고-경희대-KIA-상무-KIA,,
,,58.0,이주형,상무,이매초-매송중-야탑고-키움-상무,,
,,2.0,이주형,키움,송수초(해운대리틀)-센텀중-경남고-LG,,
,,10.0,이진영,한화,둔촌초-선린중-선린인터넷고-KIA-경찰-KIA,,
,,117.0,이진용,삼성,평택부용초(모현메이필드)-평택청담중-북일고,,
,,8.0,이창진,KIA,신도초-동인천중-인천고-건국대-롯데-KT-상무-KT,,
,,117.0,주양준,두산,부산화정초(부산북구리틀)-개성중-경남고,,
,,104.0,주한울,삼성,성동초-건대부중-배명고,,
,,22.0,채은성,한화,순천북초-순천이수중-효천고-LG,,
,,15.0,채현우,SSG,칠성초-경복중-대구상원고-송원대-SK,,
,,23.0,천재환,NC,대전신흥초-공주중-화순고-고려대,,
,,100.0,최동희,KT,연지초(노원구리틀)-상명중-장충고,,
,,53.0,최민창,SSG,강남초-선린중-신일고-LG,,
,,23.0,최상민,SSG,석교초-청주중-북일고,,
,,31.0,최성민,KT,송정동초-무등중-광주동성고,,
,,62.0,최승민,LG,서울학동초-대치중-신일고-상무-NC,,
,,33.0,최승원,고양,동성고-고려대,,
,,119.0,최우혁,두산,신곡초-매향중-라온고,,
,,3.0,최원영,LG,부산수영초-사직중-부산고,,
,,16.0,최원준,KIA,연현초-서울경원중-서울고-KIA-상무,,
,,41.0,최인호,한화,송정동초-광주동성중-포항제철고-한화-상무,,
,,94.0,최준서,한화,인천숭의초-율곡중-율곡고-동국대,,
,,54.0,최지훈,SSG,광주수창초-무등중-광주제일고-동국대-SK,,
,,34.0,최형우,KIA,진북초-전주동중-전주고-삼성-경찰-삼성,,
,,36.0,추재현,두산,경수초(성동구리틀)-건대부중-신일고-히어로즈-키움-롯데-상무-롯데,,
,,4.0,카디네스,키움,미국 California State(대)-삼성,,
,,8.0,케이브,두산,미국 Kecoughtan(고),,
,,66.0,푸이그,키움,쿠바 EIEFD(대),,
,,34.0,플로리얼,한화,도미니카,,
,,13.0,하재훈,SSG,양덕초-마산동중-용마고-SK,,
,,33.0,한석현,NC,후암초-대천중-경남고-LG,,
,,37.0,한승연,상무,군산신풍초-군산중-전주고-KIA-상무,,
,,106.0,한승현,롯데,신양초(강동구리틀)-건대부중-장충고,,
,,35.0,한유섬,SSG,중앙초(해운대리틀)-대천중-경남고-경성대-SK-상무-SK,,
,,67.0,한희준,고양,광주제일고-인하대,,
,,40.0,함수호,삼성,구미인동초(구미시리틀)-협성경복중-대구상원고,,
,,24.0,함창건,LG,백운초-충암중-충암고,,
,,34.0,홍성호,두산,인헌초-선린중-선린인터넷고,,
,,51.0,홍창기,LG,대일초-매송중-안산공고-건국대-LG-경찰,,
,,63.0,홍현빈,삼성,수원신곡초-매송중-유신고-KT-상무,,
,,0.0,황성빈,롯데,관산초-안산중앙중-소래고-경남대,,
